lead_id,company,title,location,email,category,status,next_action
522,Abahsain Mechanical Equipment,HR Contact - Heavy Equipment,Riyadh,recruitment@abahsainme.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
551,Radial,HR Contact - Contracting,Riyadh,jobs@radial.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
552,Al Gharbis,HR Contact - Food Industry,Al Kharj,recruitment@algharbis.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
553,Faisal Bin Saedan,HR Contact - Real Estate Development,Madinah,jobs@faisal-binsaedan.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
554,KEIR,HR Contact - Listed Company (Governance),KSA,careers@keir.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
555,Falcon (Nabu Al Saud),HR Contact - Medical Warehousing,Riyadh,nabualsaud.admin@falcon.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
556,Skyline Enterprise,HR Contact - E-commerce Operations,Riyadh,hr@skylineent.co,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
557,SATC,HR Contact - Safety & Security Services,Riyadh,hr@satc.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
558,Lora Medical,HR Contact - Healthcare,Riyadh,jobs@loramedical.net,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
559,MOPS KSA,HR Contact - Medical Services,KSA,job@mops-ksa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
560,Aqua-Tots,HR Contact - Education & Training,Riyadh,riyadhhr@aqua-tots.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
561,Sunset Beach,HR Contact - Hospitality,Jeddah,hrspecialist@sunset-beach.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
562,MIS,HR Contact - Business Services,KSA,jobs@mis.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
563,TUV SUD Saudi,HR Contact - Inspection & Certification,KSA,career-saudi@tuvsud.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
564,UTC Design Build,HR Contact - Design & Construction,KSA,careers@utcdesignbuild.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
565,IFFCO Group,HR Contact - FMCG Food,KSA,lalhumaidi@iffco.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
566,Arrow Beverage,HR Contact - Beverage Distribution,KSA,careers@arrow-beverage.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
567,Resal Holding,HR Contact - Holding & Investments,KSA,career@resalholding.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
568,Orbit KSA,HR Contact - IT Services,KSA,hr.department@orbitksa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
569,Samaa Holding,HR Contact - Holding & Investments,KSA,jobs@samaaholding.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
570,Abbar,HR Contact - Business Services,KSA,hr@abbar-sa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
571,PING,HR Contact - Business Services,Riyadh,hr@ping.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
572,Alshaya KSA,HR Contact - Retail (Multinational),Riyadh,karishma.sawlani@alshaya.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
573,Falcon Saudi,HR Contact - Freight Forwarding,Riyadh,recruitment@falcon-saudi.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
574,Ebdaat,HR Contact - Business Services,Riyadh,hr@ebdaatco.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
575,Podatech,HR Contact - Technology,Riyadh,hr@podatech.net,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
576,Qiam,HR Contact - Real Estate Marketing,Riyadh,marketing@qiam.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
577,Safa Group,HR Contact - Holding & Legal,Riyadh,jobs-hr@safagrp.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
578,Dania Air,HR Contact - Aviation,Riyadh,hr@daniaair.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
579,SATCO,HR Contact - Engineering & Manufacturing,Riyadh,cv@satco.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
580,WAJA,HR Contact - Engineering,Riyadh,jobs@waja.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
581,BE-Cons,HR Contact - Electrical Engineering,Riyadh,jobs@be-cons.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
582,Diamond Networks,HR Contact - IT Services,Riyadh,hr@diamondnetworks.co,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
583,Corbit,HR Contact - Finance & Business,Madinah,hr@corbit.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
584,Surgca,HR Contact - Healthcare,Riyadh,hr@surgca.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
585,Altaiseer,HR Contact - Legal Services,Riyadh,recruitment@altaiseer.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
586,MDD,HR Contact - Procurement Services,Riyadh,hr@mdd.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
587,Radian,HR Contact - Consulting,Southern Province,jobs@radian.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
588,Diyar Al Madinah,HR Contact - Hospitality,Madinah,career@dyar.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
589,BE Group,HR Contact - Training & Education,Riyadh,naif.almodhish@begroup.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
590,Shalawi Contracting,HR Contact - Contracting (Aramco),Al Ahsa,hrshalawi2@alshalawi.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
591,SAED Company,HR Contact - Hospitality,Riyadh,redpalacejobs@saed.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
592,One1,HR Contact - Marketing & Communications,Dammam,rec@one1.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
593,BEAM Consolidated,HR Contact - Gypsum Manufacturing,Yanbu,sarah.ibrahim@beam.world,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
594,Sawary,HR Contact - Automotive Services,Dammam,careers@sawary-sa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
595,MOVE Medical Center,HR Contact - Healthcare,Riyadh,career@move.med.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
596,Madain,HR Contact - Real Estate Development,Riyadh,recruitment@madain.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
597,Towell Holding (METCO),HR Contact - Conglomerate,Riyadh,hr.recruitment@towellholding.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
598,Dyafa,HR Contact - Hospitality,KSA,jobs@dyafa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
599,Shantui Saudi,HR Contact - Construction Machinery,KSA,noura@shantui.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
600,Ethmar,HR Contact - Business Services,KSA,hr@ethmar-sa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
601,Averroes Academy,HR Contact - Education,KSA,admin@averroes-academy.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
602,Tafneed,HR Contact - HR Outsourcing,KSA,humanresources@tafneed.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
603,Almayal,HR Contact - Business Services,KSA,career@almayal.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
604,Al Najah,HR Contact - Business Services,KSA,business@alnajahksa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
605,Sara Group,HR Contact - Trading & Services,KSA,jobs@sara-group.net,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
606,Eithar,HR Contact - Nonprofit Organization,KSA,jobs@eithar.org.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
607,Al Mousa Engineering,HR Contact - Engineering Consultancy,KSA,career@almousa-eng.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
608,AIS Schools,HR Contact - Education,KSA,it@ais.sch.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
609,Unity KSA,HR Contact - Business Services,KSA,hr@unityksa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
610,Smart Design,HR Contact - Design Services,KSA,hr@smartdesign-sa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
611,Quran Er,HR Contact - Religious Education,KSA,abdullah.yq@quran-er.org.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
612,Falghanim,HR Contact - Contracting,KSA,abdulrahman.alzahrani@falghanim.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
613,Noblesco,HR Contact - Business Services,KSA,nasser@noblesco.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
614,Al Asala Schools,HR Contact - Education,Riyadh,sara.alamri@alasala.edu.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
615,Esttishara,HR Contact - Consulting,KSA,hr@esttishara.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
616,Star NDT,HR Contact - Non-Destructive Testing,KSA,munirah@star-ndt.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
617,Dev Business,HR Contact - Business Services,KSA,nawafelhazmi.hr@dev-business.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
618,Dafah,HR Contact - Business Services,KSA,info@dafah.net,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
619,Innovest,HR Contact - Investment Consulting,KSA,career@innovest.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
620,Marassi Holding,HR Contact - Holding & Investments,KSA,careers@marassi-holding.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
